panel,num_tags,epi_const,test_type,p_value,significant,direction
1,2,100,welch_t_test,0.002158940566011313,True,sex
1,2,100,mann_whitney_u,0.0008944288267255211,True,sex
2,20,100,welch_t_test,6.712115955519375e-14,True,sex
2,20,100,mann_whitney_u,2.9653294916832555e-24,True,sex
3,100,100,welch_t_test,6.7425987990183756e-43,True,sex
3,100,100,mann_whitney_u,8.939040453812737e-30,True,sex
4,20,50,welch_t_test,4.791681047811621e-07,True,sex
4,20,50,mann_whitney_u,2.0218063540097339e-16,True,sex
5,20,100,welch_t_test,6.712115955519375e-14,True,sex
5,20,100,mann_whitney_u,2.9653294916832555e-24,True,sex
6,20,1000,welch_t_test,6.283398463143198e-39,True,sex
6,20,1000,mann_whitney_u,1.6651073257654105e-28,True,sex
